trade_date,ts_code,name,pred_open_d1,pred_return,ret_delta
20250911,600246.SH,万通发展,13.60492992401123,7.663066056946821,-0.5915733414334934
20250912,603256.SH,宏和科技,40.60641860961914,6.877799083726188,-3.3515033429118546
20250912,605298.SH,必得科技,42.34611129760742,5.424903238977441,-1.4940736532760068
20250912,601929.SH,吉视传媒,5.611537933349609,4.961147341405914,-1.9296830613650284
20250912,002733.SZ,雄韬股份,22.93128204345703,4.927036910659499,-0.6637204907784744
20250912,603259.SH,药明康德,106.9027328491211,4.8034358134015465,0.24431008709562274
20250915,002115.SZ,三维通信,13.913345336914062,7.9591326773475135,-6.177616841865308
20250915,002190.SZ,成飞集成,41.63002014160156,5.07668659185907,-3.4651263679493116
20250915,600475.SH,华光环能,16.22897720336914,5.029810505196064,0.0639957312257522
20250915,601929.SH,吉视传媒,6.121338844299316,5.02919769287109,-2.1153535842895588
20250915,002364.SZ,中恒电气,29.591064453125,4.467600367324054,-3.334495445138974
20250916,002547.SZ,春兴精工,6.14948844909668,8.466768971777828,-5.214690946079359
20250916,603285.SH,键邦股份,30.414039611816406,7.426049534008605,0.23614770167741383
20250916,002062.SZ,宏润建设,10.251282691955566,7.218461357110972,-3.4462645459217844
20250916,002759.SZ,天际股份,18.142894744873047,5.913492073690096,-4.491242968050169
20250916,605188.SH,国光连锁,19.7874755859375,4.4277667243657115,0.47998034130809497
20250917,603800.SH,洪田股份,57.711158752441406,5.431793807585117,-2.0297512728867817
20250917,002017.SZ,东信和平,26.62444496154785,5.098912458082716,0.0582166814103946
20250917,002181.SZ,粤传媒,8.631487846374512,4.910827421906072,-4.069346568905874
20250917,600702.SH,舍得酒业,67.40201568603516,4.50244454138935,3.2146933073328166
20250917,605068.SH,明新旭腾,30.875202178955078,4.445540481333543,-2.8105397157572654
20250918,601116.SH,三江购物,16.053491592407227,10.966515921176345,-7.729597942869159
20250918,002759.SZ,天际股份,18.527477264404297,8.905456337578443,-4.47435210544076
20250918,001202.SZ,炬申股份,22.571746826171875,8.457511448118037,-7.046815623110914
20250918,600246.SH,万通发展,14.802206039428711,7.169772984631639,4.098228789840541
20250918,601869.SH,长飞光纤,100.0416259765625,6.5912038247205595,0.8021030133625207
20250919,600246.SH,万通发展,15.398055076599121,11.215219801975929,-3.8761803024250474
20250919,001202.SZ,炬申股份,22.03506851196289,10.471323291604072,2.7896403445555107
20250919,002115.SZ,三维通信,11.796841621398926,7.477912419958965,0.7019987589196308
20250919,002048.SZ,宁波华翔,35.823143005371094,7.300359227331588,-4.685109616360417
20250919,603757.SH,大元泵业,54.33538818359375,7.190830020429417,1.2258797438205127
20250922,605288.SH,凯迪股份,115.401611328125,8.16051332343417,-6.8004432010410065
